date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:56	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:06:55%20GMT	http://2015.dconstruct.org/assets/img/speakers/brian-david-johnson.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/brian-david-johnson.36.delayed	(from https://2015.dconstruct.org/speaker/brian-david-johnson)
15:36:56	1964/1964	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225930450b-7ac%22	https://2015.dconstruct.org/assets/img/icon-quote.svg	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/icon-quote.svg	(from https://2015.dconstruct.org/assets/css/all.css?20150901)
15:36:57	17344/17344	---M--	200	added ('OK')	image/png	etag:%225930450b-43c0%22	https://2015.dconstruct.org/assets/img/speakers/brian-david-johnson.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/brian-david-johnson.png	(from https://2015.dconstruct.org/speaker/brian-david-johnson)
15:36:57	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:06:56%20GMT	http://2015.dconstruct.org/assets/img/speakers/carla-diana.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/carla-diana.png	(from https://2015.dconstruct.org/speaker/carla-diana)
15:36:58	13005/13005	---M--	200	added ('OK')	image/png	etag:%225930450b-32cd%22	https://2015.dconstruct.org/assets/img/speakers/carla-diana.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/carla-diana.png	(from https://2015.dconstruct.org/speaker/carla-diana)
15:36:58	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:06:57%20GMT	http://2015.dconstruct.org/assets/img/speakers/chris-noessel.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/chris-noessel.png	(from https://2015.dconstruct.org/speaker/chris-noessel)
15:36:59	17648/17648	---M--	200	added ('OK')	image/png	etag:%225930450b-44f0%22	https://2015.dconstruct.org/assets/img/speakers/chris-noessel.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/chris-noessel.png	(from https://2015.dconstruct.org/speaker/chris-noessel)
15:36:59	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:06:58%20GMT	http://2015.dconstruct.org/assets/img/speakers/dan-hill.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/dan-hill.png	(from https://2015.dconstruct.org/speaker/dan-hill)
15:37:00	15258/15258	---M--	200	added ('OK')	image/png	etag:%225930450b-3b9a%22	https://2015.dconstruct.org/assets/img/speakers/dan-hill.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/dan-hill.png	(from https://2015.dconstruct.org/speaker/dan-hill)
15:37:00	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Apr%202021%2010:06:59%20GMT	http://2015.dconstruct.org/assets/img/speakers/ingrid-burrington.png	C:/Work/Torque/deconstruct22/2015.dconstruct.org/assets/img/speakers/ingrid-burrington.png	(from https://2015.dconstruct.org/speaker/ingrid-burrington)
